Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
14,"Lexer::IsCharIdent",1,0.00,0.00,0.00,0.00,"vsc.exe",
14,"Lexer::IsCharDelim",1,0.00,0.00,0.00,0.00,"vsc.exe",
14,"Lexer::CopyLexerState",1,0.00,0.00,0.00,0.00,"vsc.exe",
13,"Lexer::CopyLexerState",1,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Lexer::GetNextToken",1,0.00,0.00,0.00,0.00,"vsc.exe",
13,"Lexer::CopyLexerState",1,0.00,0.00,0.00,0.00,"vsc.exe",
13,"Lexer::IsCharIdent",1,0.00,0.00,0.00,0.00,"vsc.exe",
13,"Lexer::IsCharDelim",1,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Lexer::CopyLexerState",1,0.00,0.00,0.00,0.00,"vsc.exe",
11,"Lexer::GetNextToken",1,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Lexer::CopyLexerState",1,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Lexer::IsCharDelim",1,0.00,0.00,0.00,0.00,"vsc.exe",
12,"Lexer::IsCharIdent",1,0.00,0.00,0.00,0.00,"vsc.exe",
11,"Lexer::CopyLexerState",1,0.00,0.00,0.00,0.00,"vsc.exe",
10,"Lexer::GetLookAheadChar",11,0.04,0.02,0.00,0.00,"vsc.exe",
11,"??2@YAPAXI@Z",11,0.02,0.02,0.00,0.00,"MSVCR120.dll",
11,"Lexer::CopyLexerState",22,0.00,0.00,0.00,0.00,"vsc.exe",
10,"Lexer::GetNextToken",3,0.01,0.01,0.00,0.00,"vsc.exe",
11,"Lexer::CopyLexerState",3,0.00,0.00,0.00,0.00,"vsc.exe",
11,"Lexer::IsCharIdent",3,0.00,0.00,0.00,0.00,"vsc.exe",
11,"Lexer::IsCharDelim",3,0.00,0.00,0.00,0.00,"vsc.exe",
10,"ICodeStream<ICodeNode>::AddICodeInstr",3,0.01,0.00,0.00,0.00,"vsc.exe",
11,"??2@YAPAXI@Z",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
11,"DList<ICodeNode>::Append",3,0.00,0.00,0.00,0.00,"vsc.exe",
12,"??2@YAPAXI@Z",3,0.00,0.00,0.00,0.00,"MSVCR120.dll",
10,"ICodeStream<ICodeNode>::AddIntICodeOp",2,0.01,0.00,0.00,0.00,"vsc.exe",
11,"DList<OpList>::Append",2,0.00,0.00,0.00,0.00,"vsc.exe",
12,"??2@YAPAXI@Z",2,0.00,0.00,0.00,0.00,"MSVCR120.dll",
12,"DNode<OpList>::DNode<OpList>",2,0.00,0.00,0.00,0.00,"vsc.exe",
11,"ICodeStream<ICodeNode>::GetICodeNodeByImpIndex",2,0.00,0.00,0.00,0.00,"vsc.exe",
10,"ICodeStream<ICodeNode>::AddICodeJumpTarget",2,0.00,0.00,0.00,0.00,"vsc.exe",
11,"DList<ICodeNode>::Append",2,0.00,0.00,0.00,0.00,"vsc.exe",
12,"??2@YAPAXI@Z",2,0.00,0.00,0.00,0.00,"MSVCR120.dll",
10,"ICodeStream<ICodeNode>::AddJumpTargetICodeOp",1,0.00,0.00,0.00,0.00,"vsc.exe",
11,"DList<OpList>::Append",1,0.00,0.00,0.00,0.00,"vsc.exe",
12,"??2@YAPAXI@Z",1,0.00,0.00,0.00,0.00,"MSVCR120.dll",
